file,speed_level,cost($/hour),cost/lower_bound,prealloc_time(sec),total_time(sec),relative_cost,relative_time,comment
fcma_prob_59_15_4_0.json,3,0.6034,1.3074,0.0317,0.1124,1.0000,0.8647,1.0135,
fcma_prob_5_1_1_3_2_0.json,1,11.1360,1.0357,0.1898,0.2849,1.0000,0.9511,1.1111,
fcma_prob_5_1_1_3_2_0.json,2,11.1360,1.0357,0.1095,0.1413,1.0000,1.0056,0.9901,
fcma_prob_5_1_1_3_2_0.json,3,11.1360,1.0357,0.0157,0.0631,1.0000,2.2095,1.7675,
fcma_prob_60_15_4_3_2_0.json,1,155.4784,1.0307,1.0353,1.5715,1.0000,1.1813,1.2785,
fcma_prob_60_15_4_3_2_0.json,2,155.6922,1.0321,0.4723,0.8333,1.0000,1.2429,1.1221,
fcma_prob_60_15_4_3_2_0.json,3,155.6922,1.0321,0.0313,0.2835,1.0000,0.7622,0.8366,
fcma_prob_61_15_4_3_2_0.json,1,11.7908,1.0254,5.1566,5.4075,1.0000,1.4037,1.4428,
fcma_prob_61_15_4_3_2_0.json,2,12.8696,1.1192,0.4922,0.9281,1.0000,1.7649,2.2708,
fcma_prob_61_15_4_3_2_0.json,3,12.8696,1.1192,0.0683,0.2163,1.0000,2.4495,2.4771,
fcma_prob_62_15_4_3_8_0.json,1,320.7246,1.1412,0.8420,3.0610,1.0000,1.1192,1.1305,
fcma_prob_62_15_4_3_8_0.json,2,321.1642,1.1428,0.4921,2.4621,1.0000,1.2265,1.1326,
fcma_prob_62_15_4_3_8_0.json,3,321.8535,1.1452,0.0313,1.8437,1.0000,0.8922,1.1292,
fcma_prob_63_15_4_3_8_0.json,1,13.1984,1.2194,2.0993,2.4117,1.0000,1.0840,1.0950,
fcma_prob_63_15_4_3_8_0.json,2,15.2096,1.4052,0.3968,0.6018,1.0000,1.0640,1.0956,
fcma_prob_63_15_4_3_8_0.json,3,15.2096,1.4052,0.0317,0.1099,1.0000,0.9276,0.9424,
fcma_prob_64_30_1_0.json,1,130.5600,1.0007,0.4085,0.8853,1.0000,1.0516,1.0575,
