file,speed_level,cost($/hour),cost/lower_bound,prealloc_time(sec),total_time(sec),relative_cost,relative_time,comment
fcma_prob_65_30_1_0.json,1,6.7200,1.0145,0.4133,0.5542,1.0,1.0,
fcma_prob_65_30_1_0.json,2,6.7200,1.0145,0.1306,0.2597,1.0,1.0,
fcma_prob_65_30_1_0.json,3,6.7200,1.0145,0.0272,0.1385,1.0,1.0,
fcma_prob_66_30_1_0.json,1,63.1680,1.0000,0.3784,0.5709,1.0,1.0,
fcma_prob_66_30_1_0.json,2,63.1680,1.0000,0.1072,0.2914,1.0,1.0,
fcma_prob_66_30_1_0.json,3,63.1680,1.0000,0.0286,0.2171,1.0,1.0,
fcma_prob_67_30_1_0.json,1,2.7840,1.0000,0.4070,0.5112,1.0,1.0,
fcma_prob_67_30_1_0.json,2,2.7840,1.0000,0.1189,0.2322,1.0,1.0,
fcma_prob_67_30_1_0.json,3,2.7840,1.0000,0.0310,0.1312,1.0,1.0,
fcma_prob_68_30_1_3_2_0.json,1,2241.2160,1.0239,0.3475,7.2457,1.0,1.0,
fcma_prob_68_30_1_3_2_0.json,2,2241.2160,1.0239,0.0933,7.2620,1.0,1.0,
fcma_prob_68_30_1_3_2_0.json,3,2241.2160,1.0239,0.0215,7.0641,1.0,1.0,
fcma_prob_69_30_1_3_2_0.json,1,166.2720,1.0273,0.3466,0.7825,1.0,1.0,
fcma_prob_69_30_1_3_2_0.json,2,167.0400,1.0320,0.1288,0.5642,1.0,1.0,
fcma_prob_69_30_1_3_2_0.json,3,167.0400,1.0320,0.0189,0.5154,1.0,1.0,
fcma_prob_6_1_1_3_8_0.json,1,37.6800,1.1544,0.1679,0.4572,1.0,1.0,
fcma_prob_6_1_1_3_8_0.json,2,37.6640,1.1539,0.0941,0.2503,1.0,1.0,
fcma_prob_6_1_1_3_8_0.json,3,37.6640,1.1539,0.0060,0.1183,1.0,1.0,
fcma_prob_70_30_1_3_8_0.json,1,1857.4000,1.0462,0.3543,16.2383,1.0,1.0,
fcma_prob_70_30_1_3_8_0.json,2,1875.6400,1.0564,0.1023,17.1052,1.0,1.0,
fcma_prob_70_30_1_3_8_0.json,3,1876.3200,1.0568,0.0194,16.2148,1.0,1.0,
fcma_prob_71_30_1_3_8_0.json,1,136.4880,1.1056,0.3474,1.0699,1.0,1.0,
fcma_prob_71_30_1_3_8_0.json,2,136.7520,1.1077,0.0997,0.7479,1.0,1.0,
fcma_prob_71_30_1_3_8_0.json,3,136.7520,1.1077,0.0211,0.6660,1.0,1.0,
fcma_prob_72_30_4_0.json,1,14.8688,1.0049,1.5609,1.6918,1.0,1.0,
fcma_prob_72_30_4_0.json,2,14.7235,0.9951,0.3781,0.4843,1.0,1.0,
fcma_prob_72_30_4_0.json,3,15.6835,1.0600,0.0489,0.1652,1.0,1.0,
fcma_prob_73_30_4_0.json,1,0.8225,1.1321,1.8311,1.9539,1.0,1.0,
fcma_prob_73_30_4_0.json,2,0.9096,1.2521,0.3556,0.4413,1.0,1.0,
fcma_prob_73_30_4_0.json,3,0.9096,1.2521,0.0518,0.1381,1.0,1.0,
fcma_prob_74_30_4_0.json,1,10.0163,1.0000,1.5981,1.7370,1.0,1.0,
fcma_prob_74_30_4_0.json,2,10.1657,1.0149,0.3774,0.4871,1.0,1.0,
fcma_prob_74_30_4_0.json,3,10.1657,1.0149,0.0495,0.1482,1.0,1.0,
fcma_prob_75_30_4_0.json,1,0.9234,1.1609,1.6861,1.8726,1.0,1.0,
fcma_prob_75_30_4_0.json,2,0.9944,1.2501,0.3498,0.4629,1.0,1.0,
fcma_prob_75_30_4_0.json,3,1.0464,1.3154,0.0525,0.1676,1.0,1.0,
fcma_prob_76_30_4_3_2_0.json,1,360.0494,1.0202,1.2466,1.9374,1.0,1.0,
fcma_prob_76_30_4_3_2_0.json,2,361.3306,1.0238,0.4508,1.0963,1.0,1.0,
fcma_prob_76_30_4_3_2_0.json,3,361.5686,1.0245,0.0462,0.6239,1.0,1.0,
fcma_prob_77_30_4_3_2_0.json,1,19.7020,1.0276,14.2019,14.3335,1.0,1.0,
fcma_prob_77_30_4_3_2_0.json,2,20.5156,1.0701,0.3055,0.4806,1.0,1.0,
fcma_prob_77_30_4_3_2_0.json,3,21.2724,1.1096,0.0415,0.1598,1.0,1.0,
fcma_prob_78_30_4_3_8_0.json,1,316.7157,1.1260,1.3119,2.9663,1.0,1.0,
fcma_prob_78_30_4_3_8_0.json,2,317.4466,1.1286,0.4084,1.6182,1.0,1.0,
fcma_prob_78_30_4_3_8_0.json,3,319.2409,1.1350,0.0437,1.1366,1.0,1.0,
fcma_prob_79_30_4_3_8_0.json,1,40.2141,1.2374,38.9082,39.3671,1.0,1.0,
fcma_prob_79_30_4_3_8_0.json,2,38.0296,1.1702,0.3754,0.7210,1.0,1.0,
fcma_prob_79_30_4_3_8_0.json,3,41.5398,1.2782,0.0491,0.3499,1.0,1.0,
fcma_prob_7_1_1_3_8_0.json,1,1.5360,1.3333,0.1710,0.2149,1.0,1.0,
fcma_prob_7_1_1_3_8_0.json,2,1.6240,1.4097,0.0841,0.1129,1.0,1.0,
fcma_prob_7_1_1_3_8_0.json,3,1.6240,1.4097,0.0060,0.0203,1.0,1.0,
fcma_prob_8_1_4_0.json,1,0.5110,1.0000,0.1938,0.2038,1.0,1.0,
fcma_prob_8_1_4_0.json,2,0.5110,1.0000,0.0830,0.0919,1.0,1.0,
fcma_prob_8_1_4_0.json,3,0.5110,1.0000,0.0070,0.0171,1.0,1.0,
fcma_prob_9_1_4_0.json,1,0.0912,1.0000,0.1906,0.1946,1.0,1.0,
fcma_prob_9_1_4_0.json,2,0.0960,1.0526,0.0880,0.0911,1.0,1.0,
fcma_prob_9_1_4_0.json,3,0.0960,1.0526,0.0073,0.0114,1.0,1.0,
total,1,10349.2964,1.0489,93.3255,144.1608,1.0000,1.0000,
total,2,10375.3904,1.0970,14.0418,62.9786,1.0000,1.0000,
total,3,10389.4313,1.1032,1.6107,47.4409,1.0000,1.0000,
